,latitude,longitude
ang mo kio avenue 2,1.3772789,103.8356021
woodlands checkpoint,1.44579715,103.769159193831
ang mo kio avenue 4,1.3778734,103.8390751
ang mo kio avenue 5,1.378095,103.8364422
ang mo kio avenue 6,1.3773822,103.8447704
ang mo kio avenue 8,1.3663571,103.8513202
phoenix road,1.3773568,103.7571659
telok blangah rd,1.2658186000000002,103.8211239
tampines ave 7,1.3568588,103.9432603
ang mo kio avenue 3,1.3706564,103.8733734
jln ahmad ibrahim,1.3647448999999998,103.8282849
tampines ave 5,1.3557204,103.9354209
loyang avenue,1.3604271,103.9614403
lentor ave,1.3990713,103.8283193
bke,1.4232371,103.7712944
ang mo kio central 2,1.3730357,103.8471396
pasir laba,1.3297481000000002,103.6708702
alexandra road,1.2857913,103.8026074
bishan street 12,1.3457318,103.8525596
bishan street 11,1.3479038,103.8499364
elias rd,1.3765073,103.9412829
jalan kayu,1.3923934,103.8721223
holland avenue,1.3104598,103.795847
sengkang,1.3909486999999998,103.8951748
lower delta road,1.2749485,103.8228529
coleman street,1.2924796,103.8496373
crawford street,1.308227,103.8639304
stevens rd,1.3157021,103.8261261
orchard road,1.3051298999999998,103.8317011
jalan pinang,1.3024228,103.8587353
jurong port road,1.3091756,103.7122076
marine terrace,1.3050549,103.9152538
kim chuan road,1.3404485000000002,103.88762109999999
havelock,1.28879105,103.83352582438101
marine vista,1.307862,103.9203808
tuas west road,1.3238165000000002,103.6323394
south buona vista rd,1.2794801000000002,103.7862353
turf club avenue,1.4167234,103.7658334
clementi avenue 6,1.3198225000000001,103.76358990000001
tampines road,1.3608638000000002,103.8871358
cairnhill road,1.3104805,103.8356973
portsdown rd,1.2951291,103.7948517
pasir ris drive 1,1.3676258999999995,103.9598055
middle road,1.296006,103.8568593
airport boulevard,1.3511133,103.986034
upper thomson rd,1.3594396999999998,103.828876
bukit panjang rd,1.3778313999999998,103.771309
bedok north avenue 3,1.336884,103.9331562
hougang avenue 4,1.3708776000000005,103.8887593
bukit timah road,1.3218918,103.8210326
victoria street,1.30342,103.8584284
