DateTime,Event
2019-03-16 11:21:12,Obstacle on TPE (towards PIE) before Sengkang Exit. Avoid lane 1
2019-03-16 11:07:09,Accident on AYE (towards MCE) before Alexandra Rd Exit with congestion till Clementi Rd Entrance. Avoid lane 1
2019-03-16 11:00:03,Accident on AYE (towards MCE) before Alexandra Rd Exit with congestion till Buona Vista Exit. Avoid lane 1
2019-03-16 10:57:53,Accident on AYE (towards MCE) before Alexandra Rd Exit. Avoid lane 1
2019-03-16 10:04:49,Heavy Traffic on PIE (towards Changi Airport) after Lornie Rd
2019-03-16 09:55:44,Accident on PIE (towards Changi Airport) after Lornie Rd with congestion till Lornie Rd. Avoid lane 1
2019-03-16 09:53:30,Accident on PIE (towards Changi Airport) after Lornie Rd. Avoid lane 1
2019-03-16 09:53:30,Accident on SLE (towards CTE) before Woodlands Ave 12 Exit
2019-03-16 09:40:39,Accident on TPE (towards SLE) at Tampines Ave 7 Entrance
2019-03-16 07:38:26,Accident on BKE (towards Woodlands) after SLE Exit. Avoid lanes 1 and 2
2019-03-16 06:41:53,Obstacle in CTE Tunnel (towards SLE) after Bukit Timah Rd Entrance. Avoid lane 2
2019-03-16 05:13:01,Accident on ECP (towards Changi Airport) after Marine Vista Exit. Avoid lane 3
2019-03-16 05:05:38,Accident on PIE (towards Changi Airport) at Jurong Town Hall Exit
2019-03-15 23:29:19,Obstacle on AYE (towards Tuas) before Tuas Rd Exit. Avoid lane 1
2019-03-15 23:03:06,Obstacle on AYE (towards Tuas) after Benoi Rd Exit. Avoid lane 1
2019-03-15 21:05:40,Heavy Traffic on PIE (towards Changi Airport) after Jalan Eunos
2019-03-15 20:52:47,Accident on PIE (towards Changi Airport) after Jalan Eunos with congestion till Kallang Way. Avoid lane 1
2019-03-15 20:36:12,Accident on PIE (towards Changi Airport) after Jalan Eunos. Avoid lane 1
2019-03-15 20:13:15,Accident on Raffles Boulevard near Raffles Boulevard/Temasek Avenue Junction
2019-03-15 19:13:18,Accident on SLE (towards BKE) after Lentor Ave Exit
2019-03-15 18:53:29,Accident on Jurong Port Road towards Jalan Ahmad Ibrahim
2019-03-15 18:42:45,Accident on BKE (towards Woodlands) before Mandai Rd Exit. Avoid lane 4
2019-03-15 18:37:51,Heavy Traffic on TPE (towards SLE) after Tampines Ave 12 Exit
2019-03-15 18:37:19,Accident on PIE (towards Changi Airport) before Kallang Way. Avoid lane 4
2019-03-15 18:27:09,Accident on SLE (towards BKE) after Lentor Ave Exit with congestion till TPE Exit
2019-03-15 18:23:22,Obstacle on AYE (towards Tuas ) at Clementi Ave 6 Exit
2019-03-15 18:19:03,Accident on BKE (towards Woodlands) after KJE Exit
2019-03-15 18:15:16,Accident on SLE (towards BKE) after Lentor Ave Exit with congestion till TPE Exit. Avoid lane 1
2019-03-15 18:13:42,Accident on TPE (towards SLE) after Tampines Ave 12 Exit with congestion till Tampines Ave 7 Exit. Avoid lane 1
2019-03-15 18:06:44,Accident on SLE (towards BKE) after Lentor Ave Exit with congestion till TPE Exit. Avoid lanes 1 and 2
2019-03-15 18:05:41,Accident on TPE (towards SLE) after Tampines Ave 12 Exit. Avoid lane 1
2019-03-15 18:02:52,Accident on SLE (towards BKE) after Lentor Ave Exit. Avoid lanes 1 and 2
2019-03-15 18:01:16,Accident on SLE (towards BKE) after Lentor Ave Exit. Avoid lane 1
2019-03-15 18:00:45,Accident on PIE (towards Tuas) before KPE Exit. Avoid lane 1
2019-03-15 17:52:41,Accident on BKE (towards Woodlands) before Mandai Rd Exit
2019-03-15 17:14:53,Accident on Clemenceau Avenue near Clemenceau Avenue/River Valley Road Junction
2019-03-15 16:50:03,Accident on PIE (towards Tuas) before Paya Lebar Rd. Avoid lane 1
2019-03-15 16:38:46,Accident on Yishun Avenue 1 (towards Yishun Avenue 8) after Seletar West Link. Avoid right lane
